DeviceId,Platform,Encryption,AuthenticationMethod,OSVersion,RootOrJailbreak,BitLocker,SecureBoot,TPM,DefenderAV,ComplianceStatusBefore,ComplianceStatusAfter
WIN-193,Windows11,,Password only,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-194,Windows11,,PIN only,10.0.22631.0,,No,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-195,Windows11,,PIN only,10.0.22000.0,,No,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-196,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-197,Windows11,,PIN only,10.0.22621.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-198,Windows11,,Biometric + PIN,10.0.22631.0,,No,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-199,Windows11,,PIN only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-200,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-201,Windows11,,Password only,10.0.22621.0,,No,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-202,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-203,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-204,Windows11,,Password only,10.0.22631.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-205,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-206,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-207,Windows11,,PIN only,10.0.22631.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-208,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-209,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-210,Windows11,,Password only,10.0.22631.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-211,Windows11,,Password only,10.0.22631.0,,Yes,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-212,Windows11,,PIN only,10.0.22000.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-213,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-214,Windows11,,Password only,10.0.22000.0,,No,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-215,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-216,Windows11,,PIN only,10.0.22621.0,,No,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-217,Windows11,,PIN only,10.0.22621.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-218,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-219,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-220,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-221,Windows11,,Password only,10.0.22000.0,,No,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-222,Windows11,,PIN only,10.0.22621.0,,No,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-223,Windows11,,PIN only,10.0.22621.0,,Yes,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-224,Windows11,,Password only,10.0.22621.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-225,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-226,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-227,Windows11,,PIN only,10.0.22631.0,,Yes,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-228,Windows11,,PIN only,10.0.22000.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-229,Windows11,,PIN only,10.0.22631.0,,No,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-230,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-231,Windows11,,PIN only,10.0.22621.0,,No,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-232,Windows11,,Password only,10.0.22631.0,,No,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-233,Windows11,,Biometric + PIN,10.0.22000.0,,No,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-234,Windows11,,Password only,10.0.22621.0,,Yes,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-235,Windows11,,PIN only,10.0.22000.0,,No,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-236,Windows11,,PIN only,10.0.22000.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-237,Windows11,,PIN only,10.0.22631.0,,No,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-238,Windows11,,PIN only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-239,Windows11,,PIN only,10.0.22631.0,,No,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-240,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-241,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-242,Windows11,,PIN only,10.0.22000.0,,No,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-243,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-244,Windows11,,PIN only,10.0.22631.0,,No,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-245,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-246,Windows11,,Password only,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-247,Windows11,,Biometric + PIN,10.0.22621.0,,No,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-248,Windows11,,Biometric + PIN,10.0.22000.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-249,Windows11,,PIN only,10.0.22621.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-250,Windows11,,PIN only,10.0.22631.0,,No,Disabled,Absent,Outdated,Compliant,Compliant
WIN-251,Windows11,,PIN only,10.0.22000.0,,No,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-252,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-253,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-254,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-255,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-256,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-257,Windows11,,Biometric + PIN,10.0.22631.0,,No,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-258,Windows11,,Biometric + PIN,10.0.22621.0,,No,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-259,Windows11,,Password only,10.0.22000.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-260,Windows11,,Password only,10.0.22000.0,,No,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-261,Windows11,,Password only,10.0.22000.0,,No,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-262,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-263,Windows11,,Password only,10.0.22631.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-264,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-265,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-266,Windows11,,PIN only,10.0.22000.0,,No,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-267,Windows11,,Biometric + PIN,10.0.22631.0,,No,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-268,Windows11,,Password only,10.0.22621.0,,No,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-269,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-270,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-271,Windows11,,Password only,10.0.22631.0,,No,Disabled,Absent,Outdated,Compliant,Compliant
WIN-272,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-273,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-274,Windows11,,PIN only,10.0.22000.0,,No,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-275,Windows11,,Password only,10.0.22621.0,,No,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-276,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-277,Windows11,,PIN only,10.0.22621.0,,No,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-278,Windows11,,Password only,10.0.22621.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-279,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-280,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-281,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-282,Windows11,,PIN only,10.0.22621.0,,No,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-283,Windows11,,PIN only,10.0.22000.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-284,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-285,Windows11,,PIN only,10.0.22000.0,,No,Disabled,Absent,Outdated,Compliant,Compliant
WIN-286,Windows11,,Biometric + PIN,10.0.22631.0,,No,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-287,Windows11,,Password only,10.0.22621.0,,Yes,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-288,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-289,Windows11,,Password only,10.0.22621.0,,No,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-290,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-291,Windows11,,PIN only,10.0.22631.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-292,Windows11,,PIN only,10.0.22631.0,,No,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-293,Windows11,,PIN only,10.0.22000.0,,Yes,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-294,Windows11,,Biometric + PIN,10.0.22621.0,,No,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-295,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-296,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-297,Windows11,,PIN only,10.0.22631.0,,No,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-298,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-299,Windows11,,PIN only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-300,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-301,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-302,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-303,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-304,Windows11,,Password only,10.0.22621.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-305,Windows11,,Password only,10.0.22621.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-306,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-307,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-308,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-309,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-310,Windows11,,PIN only,10.0.22621.0,,No,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-311,Windows11,,PIN only,10.0.22621.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-312,Windows11,,PIN only,10.0.22621.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-313,Windows11,,PIN only,10.0.22631.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-314,Windows11,,PIN only,10.0.22621.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-315,Windows11,,Password only,10.0.22000.0,,No,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-316,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-317,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-318,Windows11,,PIN only,10.0.22000.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-319,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-320,Windows11,,PIN only,10.0.22621.0,,No,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-321,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-322,Windows11,,PIN only,10.0.22631.0,,No,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-323,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-324,Windows11,,Password only,10.0.22621.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-325,Windows11,,Biometric + PIN,10.0.22631.0,,No,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-326,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-327,Windows11,,Password only,10.0.22000.0,,No,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-328,Windows11,,Password only,10.0.22621.0,,No,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-329,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-330,Windows11,,PIN only,10.0.22621.0,,No,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-331,Windows11,,PIN only,10.0.22631.0,,No,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-332,Windows11,,PIN only,10.0.22631.0,,No,Disabled,Absent,Outdated,Compliant,Compliant
WIN-333,Windows11,,PIN only,10.0.22000.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-334,Windows11,,Biometric + PIN,10.0.22631.0,,No,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-335,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-336,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-337,Windows11,,Biometric + PIN,10.0.22631.0,,No,Disabled,Absent,Outdated,Compliant,Compliant
WIN-338,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-339,Windows11,,PIN only,10.0.22631.0,,No,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-340,Windows11,,Biometric + PIN,10.0.22000.0,,No,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-341,Windows11,,Password only,10.0.22000.0,,No,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-342,Windows11,,Password only,10.0.22621.0,,No,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-343,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-344,Windows11,,PIN only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-345,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-346,Windows11,,PIN only,10.0.22621.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-347,Windows11,,Password only,10.0.22631.0,,No,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-348,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-349,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-350,Windows11,,Password only,10.0.22631.0,,Yes,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-351,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-352,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-353,Windows11,,Password only,10.0.22621.0,,No,Disabled,Absent,Outdated,Compliant,Compliant
WIN-354,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-355,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-356,Windows11,,Password only,10.0.22621.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-357,Windows11,,Password only,10.0.22621.0,,No,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-358,Windows11,,Biometric + PIN,10.0.22621.0,,No,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-359,Windows11,,PIN only,10.0.22631.0,,No,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-360,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-361,Windows11,,Password only,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-362,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-363,Windows11,,Biometric + PIN,10.0.22000.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-364,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-365,Windows11,,PIN only,10.0.22000.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-366,Windows11,,Password only,10.0.22000.0,,Yes,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-367,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-368,Windows11,,Password only,10.0.22631.0,,No,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-369,Windows11,,Password only,10.0.22631.0,,No,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-370,Windows11,,Biometric + PIN,10.0.22000.0,,No,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-371,Windows11,,Biometric + PIN,10.0.22621.0,,No,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-372,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-373,Windows11,,Password only,10.0.22621.0,,No,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-374,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-375,Windows11,,PIN only,10.0.22631.0,,Yes,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-376,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-377,Windows11,,Password only,10.0.22631.0,,Yes,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-378,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-379,Windows11,,PIN only,10.0.22631.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-380,Windows11,,PIN only,10.0.22631.0,,Yes,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-381,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-382,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-383,Windows11,,Password only,10.0.22621.0,,Yes,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-384,Windows11,,PIN only,10.0.22631.0,,No,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-385,Windows11,,Password only,10.0.22631.0,,Yes,Enabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-386,Windows11,,PIN only,10.0.22621.0,,No,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-387,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-388,Windows11,,Password only,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-389,Windows11,,PIN only,10.0.22631.0,,No,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-390,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-391,Windows11,,Password only,10.0.22631.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-392,Windows11,,PIN only,10.0.22621.0,,No,Enabled,Absent,Outdated,Noncompliant,Compliant
WIN-393,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-394,Windows11,,Biometric + PIN,10.0.22621.0,,No,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-395,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-396,Windows11,,PIN only,10.0.22000.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-397,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-398,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-399,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-400,Windows11,,PIN only,10.0.22631.0,,No,Disabled,Absent,Outdated,Compliant,Compliant
WIN-401,Windows11,,PIN only,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-402,Windows11,,Password only,10.0.22000.0,,No,Enabled,Absent,Outdated,Compliant,Compliant
WIN-403,Windows11,,Password only,10.0.22000.0,,No,Enabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-404,Windows11,,PIN only,10.0.22000.0,,Yes,Enabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-405,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-406,Windows11,,PIN only,10.0.22631.0,,Yes,Disabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-407,Windows11,,Biometric + PIN,10.0.22621.0,,No,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-408,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-409,Windows11,,PIN only,10.0.22000.0,,No,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-410,Windows11,,Password only,10.0.22631.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-411,Windows11,,Password only,10.0.22000.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-412,Windows11,,Biometric + PIN,10.0.22631.0,,Yes,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-413,Windows11,,Biometric + PIN,10.0.22000.0,,No,Enabled,TPM 2.0,Up-to-date,Compliant,Compliant
WIN-414,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-415,Windows11,,Password only,10.0.22000.0,,Yes,Enabled,Absent,Up-to-date,Compliant,Compliant
WIN-416,Windows11,,PIN only,10.0.22621.0,,Yes,Disabled,Absent,Up-to-date,Noncompliant,Compliant
WIN-417,Windows11,,Biometric + PIN,10.0.22621.0,,No,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-418,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Enabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-419,Windows11,,Biometric + PIN,10.0.22000.0,,Yes,Disabled,TPM 2.0,Up-to-date,Noncompliant,Compliant
WIN-420,Windows11,,Password only,10.0.22621.0,,No,Disabled,TPM 2.0,Outdated,Noncompliant,Compliant
WIN-421,Windows11,,Password only,10.0.22621.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-422,Windows11,,PIN only,10.0.22631.0,,No,Disabled,Absent,Up-to-date,Compliant,Compliant
WIN-423,Windows11,,PIN only,10.0.22000.0,,Yes,Enabled,Absent,Outdated,Compliant,Compliant
WIN-424,Windows11,,PIN only,10.0.22000.0,,No,Disabled,Absent,Outdated,Noncompliant,Compliant
WIN-425,Windows11,,Password only,10.0.22000.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-426,Windows11,,PIN only,10.0.22621.0,,No,Disabled,TPM 2.0,Outdated,Compliant,Compliant
WIN-427,Windows11,,Biometric + PIN,10.0.22621.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
WIN-428,Windows11,,PIN only,10.0.22631.0,,No,Disabled,Absent,Outdated,Compliant,Compliant
WIN-429,Windows11,,Password only,10.0.22621.0,,Yes,Disabled,Absent,Outdated,Compliant,Compliant
